"period","zone","gender","cancer","count"
"1999-2003","S01001792","All","Malignant Neoplasms",25
"2002-2006","S01001792","All","Malignant Neoplasms",25
"1999-2003","S01001797","All","Malignant Neoplasms",17
"2003-2007","S01001801","All","Malignant Neoplasms",28
"2001-2005","S01001792","All","Malignant Neoplasms",24
"2002-2006","S01001797","All","Malignant Neoplasms",18
"1999-2003","S01001793","All","Malignant Neoplasms",16
"2005-2009","S01001803","All","Malignant Neoplasms",20
"2004-2008","S01001797","All","Malignant Neoplasms",19
"2003-2007","S01001791","All","Malignant Neoplasms",19
"2005-2009","S01001793","All","Malignant Neoplasms",18
"2003-2007","S01001793","All","Malignant Neoplasms",18
"1997-2001","S01001793","All","Malignant Neoplasms",16
"2004-2008","S01001793","All","Malignant Neoplasms",17
"2001-2005","S01001793","All","Malignant Neoplasms",16
"2000-2004","S01001793","All","Malignant Neoplasms",16
"2005-2009","S01001804","All","Malignant Neoplasms",23
"1998-2002","S01001793","All","Malignant Neoplasms",16
"1997-2001","S01001803","All","Malignant Neoplasms",12
"2000-2004","S01001803","All","Malignant Neoplasms",13
"2003-2007","S01001790","All","Malignant Neoplasms",24
"2003-2007","S01001797","All","Malignant Neoplasms",21
"2001-2005","S01001803","All","Malignant Neoplasms",13
"2000-2004","S01001801","All","Malignant Neoplasms",22
"1998-2002","S01001803","All","Malignant Neoplasms",13
"2002-2006","S01001793","All","Malignant Neoplasms",16
"2000-2004","S01001797","All","Malignant Neoplasms",18
"2002-2006","S01001794","All","Malignant Neoplasms",24
"2003-2007","S01001794","All","Malignant Neoplasms",24
"2004-2008","S01001794","All","Malignant Neoplasms",24
"1999-2003","S01001794","All","Malignant Neoplasms",26
"2003-2007","S01001802","All","Malignant Neoplasms",8
"2002-2006","S01001802","All","Malignant Neoplasms",8
"2000-2004","S01001802","All","Malignant Neoplasms",9
"1998-2002","S01001802","All","Malignant Neoplasms",7
"1997-2001","S01001797","All","Malignant Neoplasms",23
"1998-2002","S01001797","All","Malignant Neoplasms",20
"2001-2005","S01001798","All","Malignant Neoplasms",17
"2005-2009","S01001794","All","Malignant Neoplasms",23
"2001-2005","S01001802","All","Malignant Neoplasms",7
"2001-2005","S01001794","All","Malignant Neoplasms",26
"2004-2008","S01001790","All","Malignant Neoplasms",29
"1997-2001","S01001794","All","Malignant Neoplasms",23
"1998-2002","S01001794","All","Malignant Neoplasms",21
"2000-2004","S01001794","All","Malignant Neoplasms",28
"2001-2005","S01001801","All","Malignant Neoplasms",23
"2005-2009","S01001797","All","Malignant Neoplasms",21
"1999-2003","S01001804","All","Malignant Neoplasms",17
"1999-2003","S01001802","All","Malignant Neoplasms",9
"1997-2001","S01001795","All","Malignant Neoplasms",6
"1998-2002","S01001795","All","Malignant Neoplasms",6
"2005-2009","S01001802","All","Malignant Neoplasms",7
"1999-2003","S01001795","All","Malignant Neoplasms",6
"2002-2006","S01001798","All","Malignant Neoplasms",15
"1999-2003","S01001798","All","Malignant Neoplasms",18
"2000-2004","S01001795","All","Malignant Neoplasms",5
"2002-2006","S01001790","All","Malignant Neoplasms",20
"2001-2005","S01001795","All","Malignant Neoplasms",3
"2002-2006","S01001795","All","Malignant Neoplasms",4
"2000-2004","S01001804","All","Malignant Neoplasms",23
"2004-2008","S01001802","All","Malignant Neoplasms",7
"2004-2008","S01001804","All","Malignant Neoplasms",26
"1998-2002","S01001798","All","Malignant Neoplasms",17
"2003-2007","S01001795","All","Malignant Neoplasms",9
"1997-2001","S01001802","All","Malignant Neoplasms",6
"2004-2008","S01001795","All","Malignant Neoplasms",8
"1998-2002","S01001804","All","Malignant Neoplasms",16
"1998-2002","S01001801","All","Malignant Neoplasms",18
"2005-2009","S01001795","All","Malignant Neoplasms",10
"1999-2003","S01001796","All","Malignant Neoplasms",24
"1999-2003","S01001801","All","Malignant Neoplasms",18
"2002-2006","S01001796","All","Malignant Neoplasms",32
"1999-2003","S01001790","All","Malignant Neoplasms",17
"1997-2001","S01001796","All","Malignant Neoplasms",21
"2005-2009","S01001796","All","Malignant Neoplasms",37
"2001-2005","S01001797","All","Malignant Neoplasms",17
"2000-2004","S01001796","All","Malignant Neoplasms",26
"2002-2006","S01001801","All","Malignant Neoplasms",22
"2002-2006","S01001800","All","Malignant Neoplasms",17
"2003-2007","S01001798","All","Malignant Neoplasms",18
"2001-2005","S01001800","All","Malignant Neoplasms",18
"2004-2008","S01001798","All","Malignant Neoplasms",18
"2004-2008","S01001796","All","Malignant Neoplasms",37
"2005-2009","S01001798","All","Malignant Neoplasms",21
"1997-2001","S01001798","All","Malignant Neoplasms",17
"2000-2004","S01001800","All","Malignant Neoplasms",19
"2004-2008","S01001799","All","Malignant Neoplasms",19
"2003-2007","S01001796","All","Malignant Neoplasms",35
"2005-2009","S01001800","All","Malignant Neoplasms",15
"2003-2007","S01001799","All","Malignant Neoplasms",21
"2002-2006","S01001791","All","Malignant Neoplasms",17
"1997-2001","S01001799","All","Malignant Neoplasms",19
"2003-2007","S01001800","All","Malignant Neoplasms",16
"2005-2009","S01001799","All","Malignant Neoplasms",21
"2005-2009","S01001790","All","Malignant Neoplasms",31
"2000-2004","S01001798","All","Malignant Neoplasms",18
